Pengajuan via	No. Aju	Tgl Aju	No. K.1.1	Tgl K.1.1	UPT	Satpel	Tempat Periksa	Alamat Tempat Periksa	Tgl Periksa	Pemohon	Alamat Pemohon	Identitas Pemohon	Pengirim	Alamat Pengirim	Identitas Pengirim	Penerima	Alamat Penerima	Identitas Penerima	Asal	Daerah Asal	Pelabuhan Asal	Tujuan	Daerah Tujuan	Pelabuhan Tujuan	Moda Alat Angkut	Nama Alat Angkut	Nomor Voyage	Jenis Kemasan	Jumlah Kemasan	Tanda Kemasan	Nomor Dokumen	Nomor Seri	Tgl Dokumen	Klasifikasi	Komoditas	Nama Tercetak	Kode HS	volumeP1	volumeP2	volumeP3	volumeP4	volumeP5	volumeP6	volumeP7	volumeP8	satuan	Harga Barang (Rp)	Kontainer	Dokumen Pendukung
PTK	14000IMT250120101239HH1NWP	20/01/2025 10:12	2025-T2.0-1400.0-K.1.1-000023	22/01/2025 08:05	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk	PELABUHAN BUATAN		22/01/2025 10:36	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	FORINDO PTE LTD ON BEHALF OF SANGUAN WONGSE INDUSTRIES CO., LTD	BLK 513 KAMPONG BHARU ROAD HEX01-121 KEPPEL DISTRIPAK SINGAPORE 099449	'099449	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 322-009/	2507	Bag	500		2025-T2.0-1400.0-K.9.2-000023	B9IL6E0	23/01/2025 08:04	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	429,75	0	0	0	0	0	0	429,75	ton	2.718.483.749	"No. OBLU3320463 Seal: OBLU235925; No. OBLU3331690 Seal: OBLU235936; No. GESU3617618 Seal: OBLU235934; No. CRSU1178879 Seal: OBLU235932; No. SEGU1344756 Seal: OBLU235927; No. TGHU0581432 Seal: OBLU235945; No. TEMU0213953 Seal: OBLU235920; No. OBLU3331030 Seal: OBLU235939; No. SEGU2287054 Seal: OBLU235928; No. OBLU3313211 Seal: OBLU235929; No. OBLU3320484 Seal: OBLU235935; No. OBLU3320226 Seal: OBLU235938; No. OBLU3319821 Seal: OBLU235937; No. SEGU2247196 Seal: OBLU235949; No. CRXU3410558 Seal: OBLU235942; No. OBLU3321433 Seal: OBLU235933; No. TCKU2963021 Seal: OBLU235941; No. OBLU3319098 Seal: OBLU235944; No. OBLU3319502 Seal: OBLU235926; No. SEGU3400545 Seal: OBLU235923; No. CRSU1477822 Seal: OBLU235948; No. SEGU3167201 Seal: OBLU235930; No. OBLU3320822 Seal: OBLU235947; No. SAXU2029419 Seal: OBLU235931; No. OBLU3321665 Seal: OBLU235940"	"Invoice No. SW12501000008 Tanggal: 2025-01-03; Phytosanitary Certificate No. TH6801006593 Tanggal: 2025-01-07; Packing List No. SW12501000008 Tanggal: 2025-01-03; Bill of Lading (BL) No. SB/M322-009/2507 Tanggal: 2025-01-17"
PTK	14000IMT250502111806W8YKPP	02/05/2025 17:56	2025-T2.0-1400.0-K.1.1-000155	05/05/2025 08:41	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	05/05/2025 09:00	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	FORINDO PTE LTD ON BEHALFOF EIAMHENG TAPIOCA STARCH INDUSTRY COLTD	BLOK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 322	019-2504	Bag	200		2025-T2.0-1400.0-K.9.2-000155	HIC0ZW5	06/05/2025 08:25	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	170,6	0	0	0	0	0	0	170,6	ton	1.028.160.000	"No. YMLU3620668 Seal: YMAT822489; No. YMMU1017999 Seal: YMAT822580; No. SEGU1432564 Seal: YMAT822594; No. YMLU3625248 Seal: YMAT822609; No. YMLU3449766 Seal: YMAT822591; No. YMMU1205131 Seal: YMAT822601; No. TIIU2016783 Seal: YMAT822483; No. OCGU2061389 Seal: YMAT822455; No. BHCU3246516 Seal: YMAT822578; No. SEGU1466311 Seal: YMAT822454"	"Bill of Lading (BL) No. SB/M322-019/2504 Tanggal: 2025-05-01; Phytosanitary Certificate No. TH6804022972 Tanggal: 2025-04-21; Invoice No. 120/25 Tanggal: 2025-04-04; Packing List No. 120/25 Tanggal: 2025-04-04"
PTK	14000IMT2504251450320WFRHP	25/04/2025 15:59	2025-T2.0-1400.0-K.1.1-000151	29/04/2025 08:00	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	29/04/2025 09:00	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	"FORINDO PTE LTD ON BEHA;F OF TPK ADVANCE STARCH CO.,LTD."	BLK 513 KAMPONG BAHRU ROAD HEX 02-108 KEPPEL DISTRIKPARK SINGAPORE	'099449	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 294	265-2504	Bag			2025-T2.0-1400.0-K.9.2-000151	TCA0ULS	30/04/2025 09:18	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	341	0	0	0	0	0	0	341	ton	2.088.960.000	"No. OBLU3321475 Seal: OBLU235757; No. TEMU5600512 Seal: OBLU235706; No. TEMU5972103 Seal: OBLU235737; No. OBLU3320268 Seal: OBLU235714; No. CXDU1826831 Seal: OBLU235745; No. OBLU3319185 Seal: OBLU235755; No. TEMU5979751 Seal: OBLU235761; No. OBLU3319950 Seal: OBLU235748; No. OBLU3313628 Seal: OBLU235759; No. OBLU3324598 Seal: OBLU235753; No. OBLU3321583 Seal: OBLU235754; No. OBLU3321388 Seal: OBLU235762; No. OBLU3321618 Seal: OBLU235760; No. CXDU1597334 Seal: OBLU235758; No. GCUU2000707 Seal: OBLU235769; No. OBLU3314223 Seal: OBLU235708; No. GESU1340503 Seal: OBLU235716; No. MAGU2511220 Seal: OBLU235732; No. TTNU3145726 Seal: OBLU235756; No. SEGU1427697 Seal: OBLU235719"	"Packing List No. TAS25/120 Tanggal: 2025-03-31; Invoice No. TAS25/120 Tanggal: 2025-03-31; Bill of Lading (BL) No. SB/M294-265/2504 Tanggal: 2025-04-25; Phytosanitary Certificate No. TH6804011279 Tanggal: 2025-04-10"
PTK	14000IMT2504041652477EXY6P	05/04/2025 11:01	2025-T2.0-1400.0-K.1.1-000125	10/04/2025 07:34	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk			07/04/2025 09:00	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	FORINDO PTE LTD ON BEHALF OF EIAM THONGCHAI INDUSTRY CO., LTD	BLK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	VISION-208	009-2504	Bag	300		2025-T2.0-1400.0-K.9.2-000125	PMH5CDO	10/04/2025 14:43	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	257,7	0	0	0	0	0	0	257,7	ton	1.489.200.000	"No. MGEU1917210 Seal: MCL0144382; No. MGEU1907763 Seal: MCL0144388; No. MGEU2003842 Seal: MCL0144385; No. MGEU1908245 Seal: MCL0144389; No. MGEU2003009 Seal: MCL0144343; No. MGEU2001027 Seal: MCL0144342; No. MGEU2005742 Seal: MCL0144386; No. MGEU1906535 Seal: MCL0144384; No. MGEU2012700 Seal: MCL0144348; No. PALU5009632 Seal: MCL0144346; No. MGEU1911716 Seal: MCL0144344; No. MGEU2012968 Seal: MCL0144350; No. MGEU2100225 Seal: MCL0144381; No. PALU5011650 Seal: MCL0144387; No. DRYU2332326 Seal: MCL0144383"	"Packing List No. IVD68030021 Tanggal: 2025-03-04; Phytosanitary Certificate No. TH6803018259 Tanggal: 2025-04-18; Invoice No. IVD68030021 Tanggal: 2025-03-04; Bill of Lading (BL) No. SB/BV208-009/2504 Tanggal: 2025-04-03"
PTK	14000IMT241213220206FENILP	22/12/2024 13:31	2024-T2.0-1400.0-K.1.1-000038	23/12/2024 08:08	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk	PELABUHAN BUATAN		23/12/2024 13:40	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'096702597407200072000	FORINDO PTE LTD ON BEHALF OF EIAM THONGCHAI INDUSTRY CO., LTD	BLK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'096702597407200072000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 322-006	2402	Bag	600		2024-T2.0-1400.0-K.9.2-000038	ZO61UGZ	24/12/2024 07:36	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	510	0	0	0	0	0	0	515,4	ton	8.100.052.170	"No. MGEU2101746 Seal: MCL0144030; No. MURU2185555 Seal: MCL0144004; No. MGEU1902329 Seal: MCL0144007; No. MGEU2004094 Seal: MCL0144022; No. DRYU2347630 Seal: MCL0144027; No. MXCU0015991 Seal: MCL0144023; No. MGEU2182100 Seal: MCL0144021; No. MURU2184522 Seal: MCL0144031; No. PALU5011389 Seal: MCL0144015; No. CRSU1084975 Seal: MCL0144013; No. TEMU4995995 Seal: MCL0144002; No. MGEU2104149 Seal: MCL0144010; No. PALU5008261 Seal: MCL0144025; No. MGEU2204235 Seal: MCL0144009; No. MGEU1911260 Seal: MCL0144012; No. PALU5001061 Seal: MCL0144020; No. MGEU1001130 Seal: MCL0144028; No. MGEU2203120 Seal: MCL0144029; No. MGEU2100586 Seal: MCL0144017; No. GESU1232854 Seal: MCL0144016; No. PALU5017221 Seal: MCL0144003; No. MURU2184224 Seal: MCL0144024; No. PALU5003995 Seal: MCL0144005; No. PALU5009946 Seal: MCL0144014; No. MGEU1901894 Seal: MCL0144019; No. DRYU2334967 Seal: MCL0144018; No. MGEU1907742 Seal: MCL0144026; No. DRYU2332943 Seal: MCL0144006; No. PALU5009503 Seal: MCL0144011; No. MGEU1905729 Seal: MCL0144008"	"Certificate Of Origin No. D2024-0346968 Tanggal: 2024-12-12; Invoice No. IVD67120005 Tanggal: 2024-12-04; Packing List No. IVD67120005 Tanggal: 2024-12-04; Phytosanitary Certificate No. TH6712010138 Tanggal: 2024-12-11; Bill of Lading (BL) No. SB/M322-006/2402 Tanggal: 2024-12-20"
PTK	14000IMT2506191501565KDJGP	19/06/2025 16:12	2025-T2.0-1400.0-K.1.1-000205	21/06/2025 08:34	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	23/06/2025 09:00	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	FORINDO PTE LTD ON BEHALFOF EIAMHENG TAPIOCA STARCH INDUSTRY COLTD	BLOK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN KERTAS	JL. Teluk Betung No.31/Kebon Melati, Tanah Abang, Kota ADM.Jakarta, DKI Jakarta	'0017400268092000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 298	162-2503	Bag	200		2025-T2.0-1400.0-K.9.2-000205	57XMPDA	23/06/2025 08:52	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	170,6	0	0	0	0	0	0	170,6	ton	1.009.120.000	"No. TEMU1691160 Seal: YMAT832346; No. YMMU1183388 Seal: YMAT832348; No. TCLU7287122 Seal: YMAT832345; No. YMLU3638121 Seal: YMAT832339; No. SEGU1740628 Seal: YMAT832299; No. SEGU1453628 Seal: YMAT832344; No. TIIU2051568 Seal: YMAT832349; No. TGBU2009569 Seal: YMAT832347; No. YMLU3635185 Seal: YMAT832392; No. YMLU3557396 Seal: YMAT832343"	"Invoice No. 227/25 Tanggal: 2025-05-28; Packing List No. 227/25 Tanggal: 2025-05-28; Bill of Lading (BL) No. SB/M298-162/2503 Tanggal: 2025-06-18; Phytosanitary Certificate No. TH6806019542 Tanggal: 2025-06-12"
PTK	14000IMT2505071018123W3JIP	07/05/2025 10:21	2025-T2.0-1400.0-K.1.1-000156	08/05/2025 08:08	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk	Pelabuhan PT. INDAH KIAT PULP & PAPER TBK	Jl. Raya Minas - Perawang Km 26, Kec. Tualang, Kab. Siak 28772, Riau - Indonesia	09/05/2025 09:30	PT. INDAH KIAT PULP & PAPER TBK	GEDUNG SINAR MAS LAND PLAZA MENARA 2 LT. 9 JL MH. THAMRIN, 51, GONDANGDIA, MENTENG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA, 10350	'0010005668092000092000	DAI DUONG FOREST PRODUCTS JSC	NGHI SON ECONOMIC ZONE, TRUONG LAM COMMUNE, NGHI SON TOWN, THANH HOA PROVINCE, VIETNAM	'0	PT. INDAH KIAT PULP & PAPER TBK	JL. RIAU NO.105	'0010005668092000092000	VIETNAM		Nghi Son	INDONESIA	KABUPATEN SIAK	Perawang, Sumatra	Laut	MV. PRINCESS ROYAL	PR045	"Bulk, solid, large particles (""nodules"")"	1		2025-T2.0-1400.0-K.9.2-000156	XN09FQP	14/05/2025 08:43	Produk tumbuhan yang tidak diolah - Kayu yang dipergunakan sebagai bahan pembungkus	KAYU AKASIA	Acacia Woodchips for Pulping Use	'44012200	41.075,13	0	0	0	0	0	0	41.075,13	ton	67.678.962.962		"Bill of Lading (BL) No. PR045 Tanggal: 2025-04-30; Packing List No. 4500006507 Tanggal: 2025-04-30; Invoice No. 4500006507 Tanggal: 2025-04-30; Phytosanitary Certificate No. 000345/25/0601 Tanggal: 2025-05-01"
PTK	14000IMT241029135939XC8TLP	29/10/2024 14:00	2024-T2.0-1400.0-K.1.1-000003	30/10/2024 08:49	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk	PELABUHAN BUATAN	pelabuhan buatan	30/10/2024 08:56	PT. RIAU ANDALAN KERTAS	JL TELUK BETUNG, 31, KEBON MELATI, TANAH ABANG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA, 10230	'01740026809200092000	FORINDO PTE LTD ON BEHALF OF EIAM THONGCHAI INDUSTRY CO., LTD	BLOK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN KERTAS	JL TELUK BETUNG, 31, KEBON MELATI, TANAH ABANG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA, 10230	'01740026809200092000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Pelabuhan Buatan, Siak	Laut	MARCOPOLO 352	030/2404	Bag	300	XXXX	2024-T2.0-1400.0-K.9.2-000003	8S2IQ9T	31/10/2024 08:40	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	257,7	0	0	0	0	0	0	257,7	ton	1.883.568.593	"No. MURU2182108 Seal: MCL0142478; No. MURU2183676 Seal: MCL0142462; No. PALU5000039 Seal: MCL0142471; No. TEMU4695534 Seal: MCL0142472; No. MGEU1911207 Seal: MCL0142461; No. TEMU2852697 Seal: MCL0142473; No. PALU5016550 Seal: MCL0142477; No. MGEU1918650 Seal: MCL0142421; No. MGEU1917036 Seal: MCL0142424; No. PALU5009490 Seal: MCL0142468; No. MGEU1001573 Seal: MCL0142440; No. DRYU2562993 Seal: MCL0142422; No. DRYU2565858 Seal: MCL0142474; No. MGEU2181593 Seal: MCL0142423; No. MGEU1903691 Seal: MCL0142467"	"Packing List No. IVD67100007 Tanggal: 2024-10-01; Bill of Lading (BL) No. SB/M352-030/2404 Tanggal: 2024-10-25; Invoice No. IVD67100007 Tanggal: 2024-10-01; Phytosanitary Certificate No. TH6710011821 Tanggal: 2024-10-11"
PTK	14000IMT250616095718A8K3OP	16/06/2025 11:13	2025-T2.0-1400.0-K.1.1-000202	17/06/2025 08:05	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk		BUATAN	18/06/2025 09:00	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	FORINDO PTE LTD ON BEHALF OF EIAM THONGCHAI INDUSTRY CO., LTD	BLK 513 KAMPONG BAHRU ROAD HEX01-121 KEPPEL DISTRIPARK SINGAPORE 099449	'099449	PT. RIAU ANDALAN PAPERBOARD INTERNATIONAL	JL.M.H. Thamrin No.31. Kebon Melati, Tanah Abang, Kota ADM.Jakarta Pusat, DKI Jakarta 10230	'0967025974072000000000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN PELALAWAN	Buatan	Laut	MARCOPOLO 182	0092-2501	Bag	200		2025-T2.0-1400.0-K.9.2-000202	XPUAH3L	17/06/2025 14:29	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	TEPUNG TAPIOKA	'11081400	171,8	0	0	0	0	0	0	171,8	ton	1.047.200.000	"No. BEAU2642429 Seal: YMAT832022; No. YMLU3401443 Seal: YMAT832024; No. TIIU2045586 Seal: YMAT832367; No. YMLU3638380 Seal: YMAT832361; No. YMLU3501442 Seal: YMAT832368; No. TEMU1688763 Seal: YMAT832371; No. BEAU2615470 Seal: YMAT832373; No. YMLU3627528 Seal: YMAT832362; No. TEMU1689163 Seal: YMAT832374; No. TEMU1706635 Seal: YMAT832376"	"Bill of Lading (BL) No. SB/M182-092/2501 Tanggal: 2025-06-14; Invoice No. IVD68050005 Tanggal: 2025-05-01; Packing List No. IVD68050005 Tanggal: 2025-05-01; Phytosanitary Certificate No. TH6805051149 Tanggal: 2025-05-29"
PTK	14000IMT250225123835YR881P	25/02/2025 12:48	2025-T2.0-1400.0-K.1.1-000078	26/02/2025 11:26	Balai Karantina Hewan, Ikan, dan Tumbuhan Riau	UPT Induk	PT. INDAH KIAT PULP & PAPER TBK	Jl. Raya Minas - Perawang Km 26, Kec. Tualang, Kab. Siak 28772, Riau - Indonesia	26/02/2025 09:30	PT. INDAH KIAT PULP & PAPER TBK	JL. RIAU NO.105	'0010005668092000092000	VP STARCH (2000) CO.,LTD.	117 MOO 16 BANSRAPRATHUM SOENGSANG NAKHONDRATCHASIMA 30330	'0	PT. INDAH KIAT PULP & PAPER TBK	JL. RIAU NO.105	'0010005668092000092000	THAILAND		LAEM CHABANG	INDONESIA	KABUPATEN SIAK	Perawang, Sumatra	Laut	PSB V	TPP2505	Bag	600		2025-T2.0-1400.0-K.9.2-000078	LN45720	28/02/2025 08:24	Produk tumbuhan yang tidak diolah - Berbentuk biji, butiran, tepung, bubuk, serbuk, serat, pelet, lempengan/cake	TEPUNG TAPIOKA	NATIVE TAPIOCA STARCH	'11081400	511,5	0	0	0	0	0	0	511,5	ton	2.956.651.254	"No. EGHU3266342 Seal: ; No. EITU0551075 Seal: ; No. BEAU2543302 Seal: ; No. DRYU2975195 Seal: ; No. EGHU3313336 Seal: ; No. DRYU2383766 Seal: ; No. EGHU3594167 Seal: ; No. EISU2270303 Seal: ; No. EGHU3795984 Seal: ; No. DFSU1062356 Seal: ; No. EGHU3572466 Seal: ; No. MAGU2214747 Seal: ; No. EITU0059126 Seal: ; No. DRYU2695851 Seal: ; No. DRYU2669174 Seal: ; No. TEMU4067991 Seal: ; No. EGHU3641741 Seal: ; No. OCGU2011304 Seal: ; No. EITU0415280 Seal: ; No. EITU0145646 Seal: ; No. EITU0255495 Seal: ; No. EITU0146093 Seal: ; No. MAGU2167183 Seal: ; No. MAGU2192611 Seal: ; No. EITU0162793 Seal: ; No. EGHU3920366 Seal: ; No. TEMU3624747 Seal: ; No. EITU0203362 Seal: ; No. TCLU3335829 Seal: ; No. DRYU2720229 Seal:"	"Bill of Lading (BL) No. EGLV050500122536 Tanggal: 2025-02-20; Packing List No. VP25024 Tanggal: 2025-02-10; Phytosanitary Certificate No. TH6802012738 Tanggal: 2025-02-14; Fumigation Certificate No. TAC/F/0484/2025 Tanggal: 2025-02-14; Invoice No. VP25024 Tanggal: 2025-02-10"
